Year_Month,Card_type,Contract_region,Trip
May-2017,Senior/Pensioner,Night Ride 71,131
May-2017,Adult,Night Ride 80,4123
May-2017,Adult Single Bus Trip 1,Night Ride 80,12
May-2017,Adult Single Bus Trip 2,Night Ride 80,25
May-2017,Adult Single Bus Trip 3,Night Ride 80,47
May-2017,Child/Youth,Night Ride 80,67
May-2017,Child/Youth Single Bus Trip 2,Night Ride 80,1
May-2017,Child/Youth Single Bus Trip 3,Night Ride 80,2
May-2017,Concession,Night Ride 80,517
May-2017,Senior/Pensioner,Night Ride 80,304
May-2017,Adult,Night Ride 90,4991
May-2017,Adult Single Bus Trip 1,Night Ride 90,17
May-2017,Adult Single Bus Trip 2,Night Ride 90,36
May-2017,Adult Single Bus Trip 3,Night Ride 90,45
May-2017,Child/Youth,Night Ride 90,172
May-2017,Child/Youth Single Bus Trip 1,Night Ride 90,1
May-2017,Child/Youth Single Bus Trip 3,Night Ride 90,6
May-2017,Concession,Night Ride 90,900
May-2017,School Student,Night Ride 90,1
May-2017,Senior/Pensioner,Night Ride 90,186
May-2017,Adult,Outer Sydney Metro Contract 1,3433
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 1,313
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 1,257
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 1,1192
May-2017,Child/Youth,Outer Sydney Metro Contract 1,2980
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 1,529
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 1,54
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 1,256
May-2017,Concession,Outer Sydney Metro Contract 1,1843
May-2017,Free Travel,Outer Sydney Metro Contract 1,212
May-2017,School Student,Outer Sydney Metro Contract 1,50365
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 1,8328
May-2017,Adult,Outer Sydney Metro Contract 10,50116
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 10,7644
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 10,6296
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 10,2170
May-2017,Child/Youth,Outer Sydney Metro Contract 10,25901
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 10,3730
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 10,1854
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 10,415
May-2017,Concession,Outer Sydney Metro Contract 10,19325
May-2017,Free Travel,Outer Sydney Metro Contract 10,1378
May-2017,School Student,Outer Sydney Metro Contract 10,226353
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 10,113158
May-2017,Adult,Outer Sydney Metro Contract 11,643
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 11,40
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 11,69
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 11,11
May-2017,Child/Youth,Outer Sydney Metro Contract 11,419
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 11,12
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 11,38
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 11,14
May-2017,Concession,Outer Sydney Metro Contract 11,223
May-2017,Free Travel,Outer Sydney Metro Contract 11,8
May-2017,School Student,Outer Sydney Metro Contract 11,10117
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 11,858
May-2017,Adult,Outer Sydney Metro Contract 12,11663
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 12,1070
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 12,1170
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 12,500
May-2017,Child/Youth,Outer Sydney Metro Contract 12,3161
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 12,168
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 12,200
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 12,79
May-2017,Concession,Outer Sydney Metro Contract 12,3580
May-2017,Free Travel,Outer Sydney Metro Contract 12,245
May-2017,School Student,Outer Sydney Metro Contract 12,22807
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 12,20769
May-2017,Adult,Outer Sydney Metro Contract 2,12700
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 2,2739
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 2,1340
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 2,1340
May-2017,Child/Youth,Outer Sydney Metro Contract 2,8116
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 2,402
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 2,293
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 2,339
May-2017,Concession,Outer Sydney Metro Contract 2,4362
May-2017,Free Travel,Outer Sydney Metro Contract 2,530
May-2017,School Student,Outer Sydney Metro Contract 2,140513
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 2,31250
May-2017,Adult,Outer Sydney Metro Contract 3,5512
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 3,536
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 3,1033
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 3,1249
May-2017,Child/Youth,Outer Sydney Metro Contract 3,1612
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 3,159
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 3,641
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 3,262
May-2017,Concession,Outer Sydney Metro Contract 3,1243
May-2017,Free Travel,Outer Sydney Metro Contract 3,143
May-2017,School Student,Outer Sydney Metro Contract 3,13089
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 3,9637
May-2017,Adult,Outer Sydney Metro Contract 4,16360
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 4,2004
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 4,1401
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 4,337
May-2017,Child/Youth,Outer Sydney Metro Contract 4,4966
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 4,344
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 4,420
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 4,104
May-2017,Concession,Outer Sydney Metro Contract 4,7922
May-2017,Free Travel,Outer Sydney Metro Contract 4,331
May-2017,School Student,Outer Sydney Metro Contract 4,31617
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 4,28371
May-2017,Adult,Outer Sydney Metro Contract 5,115956
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 5,8474
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 5,8064
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 5,1764
May-2017,Child/Youth,Outer Sydney Metro Contract 5,24342
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 5,1729
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 5,1763
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 5,532
May-2017,Concession,Outer Sydney Metro Contract 5,40833
May-2017,Employee,Outer Sydney Metro Contract 5,3223
May-2017,Free Travel,Outer Sydney Metro Contract 5,1535
May-2017,School Student,Outer Sydney Metro Contract 5,114415
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 5,144478
May-2017,Adult,Outer Sydney Metro Contract 6,95360
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 6,7006
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 6,5548
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 6,1537
May-2017,Child/Youth,Outer Sydney Metro Contract 6,22916
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 6,1907
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 6,2141
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 6,608
May-2017,Concession,Outer Sydney Metro Contract 6,20045
May-2017,Free Travel,Outer Sydney Metro Contract 6,1945
May-2017,School Student,Outer Sydney Metro Contract 6,96560
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 6,131014
May-2017,Adult,Outer Sydney Metro Contract 7,40522
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 7,3401
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 7,2308
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 7,1799
May-2017,Child/Youth,Outer Sydney Metro Contract 7,15823
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 7,1201
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 7,1036
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 7,581
May-2017,Concession,Outer Sydney Metro Contract 7,8936
May-2017,Free Travel,Outer Sydney Metro Contract 7,702
May-2017,School Student,Outer Sydney Metro Contract 7,130405
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 7,61526
May-2017,Adult,Outer Sydney Metro Contract 8,29997
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 8,1168
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 8,418
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 8,88
May-2017,Child/Youth,Outer Sydney Metro Contract 8,6729
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 8,132
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 8,34
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 8,19
May-2017,Concession,Outer Sydney Metro Contract 8,2131
May-2017,Free Travel,Outer Sydney Metro Contract 8,179
May-2017,School Student,Outer Sydney Metro Contract 8,69155
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 8,18406
May-2017,Adult,Outer Sydney Metro Contract 9,5775
May-2017,Adult Single Bus Trip 1,Outer Sydney Metro Contract 9,232
May-2017,Adult Single Bus Trip 2,Outer Sydney Metro Contract 9,98
May-2017,Adult Single Bus Trip 3,Outer Sydney Metro Contract 9,121
May-2017,Child/Youth,Outer Sydney Metro Contract 9,1657
May-2017,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 9,111
May-2017,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 9,15
May-2017,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 9,23
May-2017,Concession,Outer Sydney Metro Contract 9,690
May-2017,Free Travel,Outer Sydney Metro Contract 9,94
May-2017,School Student,Outer Sydney Metro Contract 9,21424
May-2017,Senior/Pensioner,Outer Sydney Metro Contract 9,3959
May-2017,Adult,Sydney Metro Contract 1,450002
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 1,22140
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 1,12297
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 1,971
May-2017,Child/Youth,Sydney Metro Contract 1,77300
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 1,6289
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 1,4281
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 1,388
May-2017,Concession,Sydney Metro Contract 1,81990
May-2017,Free Travel,Sydney Metro Contract 1,1619
May-2017,School Student,Sydney Metro Contract 1,274658
May-2017,Senior/Pensioner,Sydney Metro Contract 1,243810
May-2017,Adult,Sydney Metro Contract 10,302048
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 10,6321
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 10,2073
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 10,277
May-2017,Child/Youth,Sydney Metro Contract 10,50417
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 10,1648
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 10,629
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 10,63
May-2017,Concession,Sydney Metro Contract 10,56326
May-2017,Employee,Sydney Metro Contract 10,1
May-2017,Free Travel,Sydney Metro Contract 10,1301
May-2017,School Student,Sydney Metro Contract 10,207357
May-2017,Senior/Pensioner,Sydney Metro Contract 10,164910
May-2017,Adult,Sydney Metro Contract 12,109828
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 12,1125
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 12,336
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 12,22
May-2017,Child/Youth,Sydney Metro Contract 12,34193
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 12,337
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 12,141
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 12,7
May-2017,Concession,Sydney Metro Contract 12,18730
May-2017,Free Travel,Sydney Metro Contract 12,396
May-2017,School Student,Sydney Metro Contract 12,155764
May-2017,Senior/Pensioner,Sydney Metro Contract 12,38827
May-2017,Adult,Sydney Metro Contract 13,322019
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 13,10259
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 13,4556
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 13,497
May-2017,Child/Youth,Sydney Metro Contract 13,47184
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 13,1851
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 13,882
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 13,84
May-2017,Concession,Sydney Metro Contract 13,68588
May-2017,Free Travel,Sydney Metro Contract 13,1459
May-2017,School Student,Sydney Metro Contract 13,144221
May-2017,Senior/Pensioner,Sydney Metro Contract 13,214944
May-2017,Adult,Sydney Metro Contract 14,242278
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 14,1049
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 14,977
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 14,1339
May-2017,Child/Youth,Sydney Metro Contract 14,40307
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 14,391
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 14,382
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 14,272
May-2017,Concession,Sydney Metro Contract 14,33322
May-2017,Free Travel,Sydney Metro Contract 14,464
May-2017,School Student,Sydney Metro Contract 14,99745
May-2017,Senior/Pensioner,Sydney Metro Contract 14,52288
May-2017,Adult,Sydney Metro Contract 15,84855
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 15,9538
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 15,4399
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 15,825
May-2017,Child/Youth,Sydney Metro Contract 15,23314
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 15,2883
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 15,1104
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 15,162
May-2017,Concession,Sydney Metro Contract 15,23701
May-2017,Free Travel,Sydney Metro Contract 15,914
May-2017,School Student,Sydney Metro Contract 15,79724
May-2017,Senior/Pensioner,Sydney Metro Contract 15,63997
May-2017,Adult,Sydney Metro Contract 2,117522
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 2,5994
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 2,2916
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 2,443
May-2017,Child/Youth,Sydney Metro Contract 2,21146
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 2,1417
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 2,750
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 2,102
May-2017,Concession,Sydney Metro Contract 2,28790
May-2017,Free Travel,Sydney Metro Contract 2,1196
May-2017,School Student,Sydney Metro Contract 2,80189
May-2017,Senior/Pensioner,Sydney Metro Contract 2,98189
May-2017,Adult,Sydney Metro Contract 3,422936
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 3,20551
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 3,13517
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 3,1879
May-2017,Child/Youth,Sydney Metro Contract 3,79594
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 3,5914
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 3,3511
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 3,245
May-2017,Concession,Sydney Metro Contract 3,132503
May-2017,Free Travel,Sydney Metro Contract 3,2009
May-2017,School Student,Sydney Metro Contract 3,203974
May-2017,Senior/Pensioner,Sydney Metro Contract 3,300134
May-2017,Adult,Sydney Metro Contract 4,1315568
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 4,6186
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 4,3687
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 4,11018
May-2017,Child/Youth,Sydney Metro Contract 4,101455
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 4,1718
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 4,1069
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 4,1474
May-2017,Concession,Sydney Metro Contract 4,217191
May-2017,Free Travel,Sydney Metro Contract 4,2417
May-2017,School Student,Sydney Metro Contract 4,249028
May-2017,Senior/Pensioner,Sydney Metro Contract 4,221985
May-2017,Adult,Sydney Metro Contract 5,126915
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 5,4929
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 5,1391
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 5,28
May-2017,Child/Youth,Sydney Metro Contract 5,17913
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 5,989
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 5,301
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 5,8
May-2017,Concession,Sydney Metro Contract 5,19212
May-2017,Free Travel,Sydney Metro Contract 5,661
May-2017,School Student,Sydney Metro Contract 5,49281
May-2017,Senior/Pensioner,Sydney Metro Contract 5,116945
May-2017,Adult,Sydney Metro Contract 6,2888676
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 6,12141
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 6,4544
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 6,384
May-2017,Child/Youth,Sydney Metro Contract 6,121108
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 6,1767
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 6,718
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 6,57
May-2017,Concession,Sydney Metro Contract 6,427677
May-2017,Employee,Sydney Metro Contract 6,25672
May-2017,Free Travel,Sydney Metro Contract 6,5575
May-2017,School Student,Sydney Metro Contract 6,122296
May-2017,Senior/Pensioner,Sydney Metro Contract 6,724664
May-2017,Adult,Sydney Metro Contract 7,1831342
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 7,5225
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 7,3665
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 7,1458
May-2017,Child/Youth,Sydney Metro Contract 7,114682
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 7,877
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 7,678
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 7,183
May-2017,Concession,Sydney Metro Contract 7,192197
May-2017,Employee,Sydney Metro Contract 7,11314
May-2017,Free Travel,Sydney Metro Contract 7,3919
May-2017,School Student,Sydney Metro Contract 7,203867
May-2017,Senior/Pensioner,Sydney Metro Contract 7,387987
May-2017,Adult,Sydney Metro Contract 8,1589276
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 8,12984
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 8,9176
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 8,6407
May-2017,Child/Youth,Sydney Metro Contract 8,121374
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 8,2682
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 8,1916
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 8,944
May-2017,Concession,Sydney Metro Contract 8,116551
May-2017,Employee,Sydney Metro Contract 8,12849
May-2017,Free Travel,Sydney Metro Contract 8,3712
May-2017,School Student,Sydney Metro Contract 8,224780
May-2017,Senior/Pensioner,Sydney Metro Contract 8,285568
May-2017,Adult,Sydney Metro Contract 9,4546395
May-2017,Adult Single Bus Trip 1,Sydney Metro Contract 9,14840
May-2017,Adult Single Bus Trip 2,Sydney Metro Contract 9,10557
May-2017,Adult Single Bus Trip 3,Sydney Metro Contract 9,1121
May-2017,Child/Youth,Sydney Metro Contract 9,152934
May-2017,Child/Youth Single Bus Trip 1,Sydney Metro Contract 9,1747
May-2017,Child/Youth Single Bus Trip 2,Sydney Metro Contract 9,1022
May-2017,Child/Youth Single Bus Trip 3,Sydney Metro Contract 9,104
May-2017,Concession,Sydney Metro Contract 9,659665
May-2017,Employee,Sydney Metro Contract 9,24727
May-2017,Free Travel,Sydney Metro Contract 9,7097
May-2017,School Student,Sydney Metro Contract 9,103034
May-2017,Senior/Pensioner,Sydney Metro Contract 9,838307
May-2017,Adult,UNKNOWN,1374
May-2017,Child/Youth,UNKNOWN,83
May-2017,Concession,UNKNOWN,89
May-2017,Employee,UNKNOWN,11
May-2017,Free Travel,UNKNOWN,1
May-2017,School Student,UNKNOWN,31
May-2017,Senior/Pensioner,UNKNOWN,214
Jun-2017,Adult,Night Ride 10,8403
Jun-2017,Adult Single Bus Trip 1,Night Ride 10,16
Jun-2017,Adult Single Bus Trip 2,Night Ride 10,35
Jun-2017,Adult Single Bus Trip 3,Night Ride 10,64
Jun-2017,Child/Youth,Night Ride 10,102
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 10,1
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 10,2
Jun-2017,Concession,Night Ride 10,615
Jun-2017,Free Travel,Night Ride 10,1
Jun-2017,Senior/Pensioner,Night Ride 10,413
Jun-2017,Adult,Night Ride 100,568
Jun-2017,Adult Single Bus Trip 1,Night Ride 100,8
Jun-2017,Adult Single Bus Trip 2,Night Ride 100,4
Jun-2017,Child/Youth,Night Ride 100,9
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 100,2
Jun-2017,Concession,Night Ride 100,40
Jun-2017,Senior/Pensioner,Night Ride 100,21
Jun-2017,Adult,Night Ride 11,5351
Jun-2017,Adult Single Bus Trip 1,Night Ride 11,5
Jun-2017,Adult Single Bus Trip 2,Night Ride 11,13
Jun-2017,Adult Single Bus Trip 3,Night Ride 11,37
Jun-2017,Child/Youth,Night Ride 11,57
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 11,1
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 11,1
Jun-2017,Concession,Night Ride 11,290
Jun-2017,Senior/Pensioner,Night Ride 11,307
Jun-2017,Adult,Night Ride 20,615
Jun-2017,Adult Single Bus Trip 1,Night Ride 20,2
Jun-2017,Adult Single Bus Trip 2,Night Ride 20,6
Jun-2017,Child/Youth,Night Ride 20,25
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 20,1
Jun-2017,Concession,Night Ride 20,26
Jun-2017,Senior/Pensioner,Night Ride 20,71
Jun-2017,Adult,Night Ride 30,5674
Jun-2017,Adult Single Bus Trip 1,Night Ride 30,17
Jun-2017,Adult Single Bus Trip 2,Night Ride 30,56
Jun-2017,Adult Single Bus Trip 3,Night Ride 30,124
Jun-2017,Child/Youth,Night Ride 30,151
Jun-2017,Child/Youth Single Bus Trip 1,Night Ride 30,1
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 30,7
Jun-2017,Concession,Night Ride 30,692
Jun-2017,Free Travel,Night Ride 30,11
Jun-2017,Senior/Pensioner,Night Ride 30,690
Jun-2017,Adult,Night Ride 40,6070
Jun-2017,Adult Single Bus Trip 1,Night Ride 40,11
Jun-2017,Adult Single Bus Trip 2,Night Ride 40,32
Jun-2017,Adult Single Bus Trip 3,Night Ride 40,59
Jun-2017,Child/Youth,Night Ride 40,116
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 40,2
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 40,2
Jun-2017,Concession,Night Ride 40,578
Jun-2017,Senior/Pensioner,Night Ride 40,599
Jun-2017,Adult,Night Ride 50,7022
Jun-2017,Adult Single Bus Trip 1,Night Ride 50,11
Jun-2017,Adult Single Bus Trip 2,Night Ride 50,44
Jun-2017,Adult Single Bus Trip 3,Night Ride 50,34
Jun-2017,Child/Youth,Night Ride 50,140
Jun-2017,Child/Youth Single Bus Trip 1,Night Ride 50,1
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 50,4
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 50,5
Jun-2017,Concession,Night Ride 50,609
Jun-2017,Free Travel,Night Ride 50,3
Jun-2017,Senior/Pensioner,Night Ride 50,826
Jun-2017,Adult,Night Ride 60,11078
Jun-2017,Adult Single Bus Trip 1,Night Ride 60,19
Jun-2017,Adult Single Bus Trip 2,Night Ride 60,51
Jun-2017,Adult Single Bus Trip 3,Night Ride 60,89
Jun-2017,Child/Youth,Night Ride 60,139
Jun-2017,Child/Youth Single Bus Trip 1,Night Ride 60,1
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 60,5
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 60,9
Jun-2017,Concession,Night Ride 60,574
Jun-2017,Free Travel,Night Ride 60,8
Jun-2017,Senior/Pensioner,Night Ride 60,867
Jun-2017,Adult,Night Ride 61,1480
Jun-2017,Adult Single Bus Trip 1,Night Ride 61,2
Jun-2017,Adult Single Bus Trip 2,Night Ride 61,5
Jun-2017,Adult Single Bus Trip 3,Night Ride 61,16
Jun-2017,Child/Youth,Night Ride 61,14
Jun-2017,Concession,Night Ride 61,125
Jun-2017,Senior/Pensioner,Night Ride 61,80
Jun-2017,Adult,Night Ride 70,5801
Jun-2017,Adult Single Bus Trip 1,Night Ride 70,7
Jun-2017,Adult Single Bus Trip 2,Night Ride 70,22
Jun-2017,Adult Single Bus Trip 3,Night Ride 70,66
Jun-2017,Child/Youth,Night Ride 70,112
Jun-2017,Child/Youth Single Bus Trip 1,Night Ride 70,1
Jun-2017,Child/Youth Single Bus Trip 2,Night Ride 70,2
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 70,5
Jun-2017,Concession,Night Ride 70,410
Jun-2017,Senior/Pensioner,Night Ride 70,535
Jun-2017,Adult,Night Ride 71,1539
Jun-2017,Adult Single Bus Trip 1,Night Ride 71,4
Jun-2017,Adult Single Bus Trip 2,Night Ride 71,3
Jun-2017,Adult Single Bus Trip 3,Night Ride 71,24
Jun-2017,Child/Youth,Night Ride 71,42
Jun-2017,Concession,Night Ride 71,236
Jun-2017,Senior/Pensioner,Night Ride 71,146
Jun-2017,Adult,Night Ride 80,4078
Jun-2017,Adult Single Bus Trip 1,Night Ride 80,17
Jun-2017,Adult Single Bus Trip 2,Night Ride 80,12
Jun-2017,Adult Single Bus Trip 3,Night Ride 80,33
Jun-2017,Child/Youth,Night Ride 80,62
Jun-2017,Child/Youth Single Bus Trip 3,Night Ride 80,6
Jun-2017,Concession,Night Ride 80,494
